,x
1,5
2,3
3,5
4,4
5,6
6,6
7,5
8,2
9,3
10,1
11,5
12,4
13,1
14,3
15,3
16,0
17,0
18,1
19,1
20,1
21,2
22,1
23,1
24,2
25,2
26,1
27,0
28,4
29,2
30,2
31,2
32,1
33,0
34,1
35,0
36,3
37,3
38,1
39,2
40,1
41,1
42,4
43,4
44,4
45,2
46,3
47,1
48,4
49,2
50,3
51,7
52,8
53,10
54,11
55,6
56,7
57,4
58,2
59,5
60,8
61,22
62,12
63,20
64,30
65,24
66,24
67,22
68,19
69,15
70,4
71,19
72,18
73,18
74,16
75,8
76,9
77,10
78,18
79,23
80,22
81,19
82,16
83,22
84,17
85,14
86,15
87,19
88,14
89,18
90,15
91,15
92,15
93,14
94,16
95,17
96,18
97,18
98,17
99,19
100,21
101,22
102,21
103,18
104,20
